group,source,res_pc,colname,unit,format,description

label,,0,REGION,,"s","Region name"

coord,,0,r_gal_min,"kpc",".3f","Inner boundary of the ring"
coord,,0,r_gal_max,"kpc",".3f","Outer boundary of the ring"

rotcurve,rotcurve:model_legendre,0,V_circ_legendre,"km s-1",".3e","Circular orbital velocity (Legendre polynomial model)"
rotcurve,rotcurve:model_legendre,0,beta_legendre,"1",".3e","Logarithmic derivative of the rotation curve (Legendre polynomial model)"
rotcurve,rotcurve:model_universal,0,V_circ_universal,"km s-1",".3e","Circular orbital velocity (Persic+96 universal model)"
rotcurve,rotcurve:model_universal,0,beta_universal,"1",".3e","Logarithmic derivative of the rotation curve (Persic+96 universal model)"

metal,,0,Zprime,"1",".3e","Gas-phase metallicity relative to solar value"
metal,,0,Zprime_MZR+GRD,"1",".3e","Gas-phase metallicity relative to solar value (SAMI19 MZR + CALIFA14 gradient)"

SFR,,0,Sigma_SFR,"Msun yr-1 kpc-2",".3e","Region-average SFR surface density"
SFR,z0MGS:SFR:FUVW4:gauss15,0,Sigma_SFR_FUVW4,"Msun yr-1 kpc-2",".3e","Region-average SFR surface density (GALEX FUV + WISE 22um; Leroy+19)"
SFR,z0MGS:SFR:NUVW4:gauss15,0,Sigma_SFR_NUVW4,"Msun yr-1 kpc-2",".3e","Region-average SFR surface density (GALEX NUV + WISE 22um; Leroy+19)"
SFR,z0MGS:SFR:W4ONLY:gauss15,0,Sigma_SFR_W4ONLY,"Msun yr-1 kpc-2",".3e","Region-average SFR surface density (WISE 22um; Leroy+19)"
SFR,z0MGS:SFR:FUVW3:gauss7p5,0,Sigma_SFR_FUVW3,"Msun yr-1 kpc-2",".3e","Region-average SFR surface density (GALEX FUV + WISE 12um; Leroy+19)"
SFR,z0MGS:SFR:NUVW3:gauss7p5,0,Sigma_SFR_NUVW3,"Msun yr-1 kpc-2",".3e","Region-average SFR surface density (GALEX NUV + WISE 12um; Leroy+19)"
SFR,z0MGS:SFR:W3ONLY:gauss7p5,0,Sigma_SFR_W3ONLY,"Msun yr-1 kpc-2",".3e","Region-average SFR surface density (WISE 12um; Leroy+19)"
SFR,Halpha:SFR:HaW4,0,Sigma_SFR_HaW4,"Msun yr-1 kpc-2",".3e","[Preliminary] Region-average SFR surface density (duPont/WFI Halpha + WISE 22um; Calzetti+07, Murphy+11)"
SFR,Halpha:SFR:HaONLY,0,Sigma_SFR_HaONLY,"Msun yr-1 kpc-2",".3e","[Preliminary] Region-average SFR surface density (duPont/WFI Halpha; Murphy+11)"

star,,0,Sigma_star,"Msun pc-2",".3e","Region-average stellar mass surface density"
