"colname","unit","format","description"

"I_CO21","K km s-1",".3e","Region-average CO(2-1) line intensity (PHANGS-ALMA)"
"e_I_CO21","K km s-1",".3e","Error on region-average CO(2-1) line intensity (PHANGS-ALMA)"

"frac_CO21_center","1",".3f","Fraction of CO21 flux in the central region"
"frac_CO21_bars","1",".3f","Fraction of CO21 flux in the bar region"
"frac_CO21_rings","1",".3f","Fraction of CO21 flux in the ring region"
"frac_CO21_lenses","1",".3f","Fraction of CO21 flux in the lens region"
"frac_CO21_sp_arms","1",".3f","Fraction of CO21 flux in the spiral arm region"

"Zprime","1",".3e","Gas-phase metallicity relative to solar (fiducial)"
"Zprime_scaling","1",".3e","Gas-phase metallicity relative to solar (scaling relation-based prediction; Sun+20)"

"alpha_CO21","Msun pc-2 K-1 km-1 s",".3e","CO(2-1)-to-H2 conversion factor (fiducial)"
"alpha_CO21_S20","Msun pc-2 K-1 km-1 s",".3e","CO(2-1)-to-H2 conversion factor (Sun+20 Zprime-based power law)"
"alpha_CO21_Galactic","Msun pc-2 K-1 km-1 s",".3e","CO(2-1)-to-H2 conversion factor (Galactic value)"
"alpha_CO21_N12","Msun pc-2 K-1 km-1 s",".3e","CO(2-1)-to-H2 conversion factor (Narayanan+12 prescription)"
"alpha_CO21_B13","Msun pc-2 K-1 km-1 s",".3e","CO(2-1)-to-H2 conversion factor (Bolatto+13 prescription)"
"<alpha_CO21_G20ICO_native>","Msun pc-2 K-1 km-1 s",".3e","FLux-weighted mean CO(2-1)-to-H2 conversion factor (Gong+20 ICO-based, native resolution)"
"<alpha_CO21_G20ICO_60pc>","Msun pc-2 K-1 km-1 s",".3e","FLux-weighted mean CO(2-1)-to-H2 conversion factor (Gong+20 ICO-based, 60 pc resolution)"
"<alpha_CO21_G20ICO_90pc>","Msun pc-2 K-1 km-1 s",".3e","FLux-weighted mean CO(2-1)-to-H2 conversion factor (Gong+20 ICO-based, 90 pc resolution)"
"<alpha_CO21_G20ICO_120pc>","Msun pc-2 K-1 km-1 s",".3e","FLux-weighted mean CO(2-1)-to-H2 conversion factor (Gong+20 ICO-based, 120 pc resolution)"
"<alpha_CO21_G20ICO_150pc>","Msun pc-2 K-1 km-1 s",".3e","FLux-weighted mean CO(2-1)-to-H2 conversion factor (Gong+20 ICO-based, 150 pc resolution)"

"Sigma_mol","Msun pc-2",".3e","Region-average molecular gas surface density (PHANGS-ALMA)"
"e_Sigma_mol","dex",".2f","Error on region-average molecular gas surface density (PHANGS-ALMA)"

"fracA_CO21_pix_native","1",".3f","Area filling fraction of CO21 detection @ native resolution"
"fracF_CO21_pix_native","1",".3f","Flux completeness of CO21 detection @ native resolution"
"c_CO21_pix_native","1",".3e","Clumping factor of CO21 emission @ native resolution"
"e_c_CO21_pix_native","dex",".2f","Error on clumping factor of CO21 emission @ native resolution"
"<I_CO21_pix_native>","K km s-1",".3e","Flux-weighted mean CO21 line intensity @ native resolution"
"e_<I_CO21_pix_native>","dex",".2f","Error on flux-weighted mean CO21 line intensity @ native resolution"
"<sigmav_CO21_pix_native>","km s-1",".3e","Flux-weighted mean CO21 line width @ native resolution"
"e_<sigmav_CO21_pix_native>","dex",".2f","Error on flux-weighted mean CO21 line width @ native resolution"
"<Sigma_mol_pix_native>","Msun pc-2",".3e","Flux-weighted mean molecular gas surface density @ native resolution"
"e_<Sigma_mol_pix_native>","dex",".2f","Error on flux-weighted mean molecular gas surface density @ native resolution"
"<vdisp_mol_pix_native>","km s-1",".3e","Flux-weighted mean molecular gas velocity dispersion @ native resolution"
"e_<vdisp_mol_pix_native>","dex",".2f","Error on flux-weighted mean molecular gas velocity dispersion @ native resolution"
"<t_ff^-1_pix_native>","Myr-1",".3e","Flux-weighted mean reciprocal of free-fall time @ native resolution"
"e_<t_ff^-1_pix_native>","dex",".2f","Error on flux-weighted mean reciprocal of free-fall time @ native resolution"
"<t_cross^-1_pix_native>","Myr-1",".3e","Flux-weighted mean reciprocal of crossing time @ native resolution"
"e_<t_cross^-1_pix_native>","dex",".2f","Error on flux-weighted mean reciprocal of crossing time @ native resolution"
"<alpha_vir_pix_native>","1",".3e","Flux-weighted mean virial parameter @ native resolution"
"e_<alpha_vir_pix_native>","dex",".2f","Error on flux-weighted mean virial parameter @ native resolution"
"<P_turb_pix_native>","K cm-3",".3e","Flux-weighted mean molecular gas turbulent pressure @ native resolution"
"e_<P_turb_pix_native>","dex",".2f","Error on flux-weighted mean molecular gas turbulent pressure @ native resolution"
"<P_DE_pix_native>","K cm-3",".3e","Flux-weighted mean cloud-scale dynamical equilibrium pressure @ native resolution"
